"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","356.04","1.0548","0.0","0.0","0.0","0.0","0.744","-86.386","0.2426"
"10.0","355.18","1.0522","0.0","3.55","0.22","3.56","0.748","-86.386","0.2432"
"20.0","354.31","1.0497","0.0","7.09","0.44","7.1","0.751","-86.386","0.2438"
"30.0","353.45","1.0471","0.0","10.62","0.66","10.64","0.755","-86.386","0.2444"
"40.0","352.58","1.0445","0.0","14.15","0.88","14.17","0.759","-86.386","0.245"
"50.0","351.72","1.042","0.0","17.66","1.1","17.69","0.763","-86.386","0.2456"
"60.0","350.86","1.0394","0.1","21.17","1.31","21.21","0.766","-86.386","0.2462"
"70.0","349.99","1.0369","0.1","24.66","1.53","24.71","0.77","-86.386","0.2468"
"80.0","349.13","1.0343","0.1","28.15","1.74","28.21","0.774","-86.386","0.2474"
"90.0","348.27","1.0318","0.1","31.63","1.95","31.69","0.778","-86.386","0.2481"
"100.0","347.4","1.0292","0.1","35.11","2.16","35.17","0.782","-86.386","0.2487"
"110.0","346.54","1.0266","0.1","38.57","2.37","38.64","0.786","-86.386","0.2493"
"120.0","345.67","1.0241","0.1","42.02","2.57","42.1","0.79","-86.386","0.2499"
"130.0","344.78","1.0214","0.1","45.47","2.78","45.56","0.778","-84.624","0.2454"
"140.0","343.88","1.0188","0.1","48.91","2.98","49.0","0.783","-84.797","0.2466"
"150.0","343.03","1.0162","0.1","52.34","3.18","52.43","0.813","-87.521","0.2551"
"160.0","342.17","1.0137","0.1","55.76","3.38","55.86","0.835","-89.46","0.2615"
"170.0","341.28","1.0111","0.1","59.17","3.58","59.28","0.847","-90.272","0.2645"
"180.0","340.38","1.0084","0.2","62.57","3.78","62.68","0.85","-90.143","0.2648"
"190.0","339.49","1.0058","0.2","65.96","3.98","66.08","0.863","-91.038","0.2682"
"200.0","338.57","1.003","0.2","69.35","4.17","69.47","0.87","-91.249","0.2695"
"210.0","337.65","1.0003","0.2","72.72","4.36","72.86","0.869","-90.576","0.2683"
"220.0","336.74","0.9976","0.2","76.09","4.55","76.23","0.872","-90.45","0.2686"
"230.0","335.84","0.995","0.2","79.45","4.74","79.59","0.879","-90.693","0.27"
"240.0","334.95","0.9923","0.2","82.8","4.93","82.94","0.882","-90.553","0.2704"
"250.0","334.05","0.9896","0.2","86.14","5.12","86.29","0.882","-90.052","0.2696"
"260.0","333.16","0.987","0.2","89.47","5.3","89.63","0.877","-88.991","0.2671"
"270.0","332.28","0.9844","0.2","92.79","5.49","92.95","0.863","-87.15","0.2623"
"280.0","331.41","0.9818","0.2","96.1","5.67","96.27","0.853","-85.748","0.2587"
"290.0","330.56","0.9793","0.2","99.41","5.85","99.58","0.849","-84.888","0.2568"
"300.0","329.71","0.9768","0.3","102.71","6.03","102.88","0.847","-84.21","0.2554"
"310.0","328.86","0.9743","0.3","105.99","6.21","106.17","0.846","-83.718","0.2546"
"320.0","328.02","0.9718","0.3","109.27","6.39","109.46","0.848","-83.484","0.2545"
"330.0","327.18","0.9693","0.3","112.54","6.56","112.74","0.852","-83.42","0.255"
"340.0","326.35","0.9668","0.3","115.81","6.73","116.0","0.859","-83.675","0.2564"
"350.0","325.52","0.9644","0.3","119.06","6.91","119.26","0.861","-83.473","0.2564"
"360.0","324.69","0.9619","0.3","122.31","7.08","122.51","0.859","-82.794","0.255"
"370.0","323.88","0.9595","0.3","125.55","7.25","125.76","0.854","-81.9","0.2529"
"380.0","323.07","0.9571","0.3","128.78","7.42","128.99","0.839","-80.119","0.248"
"390.0","322.29","0.9548","0.3","132.0","7.58","132.22","0.824","-78.285","0.2429"
"400.0","321.52","0.9525","0.3","135.21","7.75","135.44","0.8","-75.65","0.2353"
"410.0","320.78","0.9504","0.4","138.42","7.91","138.65","0.776","-73.046","0.2277"
"420.0","320.06","0.9482","0.4","141.62","8.07","141.85","0.749","-70.265","0.2195"
"430.0","319.37","0.9462","0.4","144.82","8.24","145.05","0.731","-68.292","0.2138"
"440.0","318.69","0.9441","0.4","148.0","8.4","148.24","0.714","-66.419","0.2084"
"450.0","318.02","0.9422","0.4","151.18","8.55","151.42","0.7","-64.87","0.204"
"460.0","317.36","0.9402","0.4","154.35","8.71","154.6","0.7","-64.592","0.2035"
"470.0","316.71","0.9383","0.4","157.52","8.87","157.77","0.703","-64.547","0.2038"
"480.0","316.07","0.9364","0.4","160.68","9.02","160.93","0.706","-64.566","0.2043"
"490.0","315.43","0.9345","0.4","163.84","9.18","164.09","0.711","-64.743","0.2053"
"500.0","314.79","0.9326","0.4","166.98","9.33","167.24","0.707","-64.138","0.2038"
"510.0","314.15","0.9307","0.5","170.12","9.48","170.39","0.705","-63.756","0.203"
"520.0","313.53","0.9289","0.5","173.26","9.63","173.53","0.698","-62.854","0.2005"
"530.0","312.91","0.927","0.5","176.39","9.78","176.66","0.684","-61.335","0.196"
"540.0","312.3","0.9252","0.5","179.51","9.92","179.78","0.672","-60.012","0.1922"
"550.0","311.71","0.9235","0.5","182.63","10.07","182.9","0.656","-58.422","0.1874"
"560.0","311.12","0.9217","0.5","185.74","10.21","186.02","0.653","-57.942","0.1862"
"570.0","310.54","0.92","0.5","188.84","10.36","189.13","0.647","-57.139","0.184"
"580.0","309.96","0.9183","0.5","191.94","10.5","192.23","0.649","-57.108","0.1842"
"590.0","309.38","0.9166","0.5","195.04","10.64","195.33","0.652","-57.22","0.185"
"600.0","308.81","0.9149","0.5","198.12","10.78","198.42","0.659","-57.587","0.1865"
"610.0","308.24","0.9132","0.6","201.21","10.92","201.5","0.661","-57.549","0.1867"
"620.0","307.67","0.9115","0.6","204.28","11.06","204.58","0.663","-57.475","0.1868"
"630.0","307.1","0.9098","0.6","207.35","11.19","207.66","0.664","-57.375","0.1868"
"640.0","306.53","0.9082","0.6","210.42","11.33","210.72","0.658","-56.609","0.1847"
"650.0","305.97","0.9065","0.6","213.48","11.46","213.79","0.658","-56.393","0.1843"
"660.0","305.4","0.9048","0.6","216.53","11.59","216.84","0.655","-55.967","0.1833"
"670.0","304.84","0.9031","0.6","219.58","11.72","219.89","0.653","-55.604","0.1824"
"680.0","304.29","0.9015","0.6","222.62","11.85","222.94","0.645","-54.675","0.1797"
"690.0","303.75","0.8999","0.6","225.66","11.98","225.98","0.644","-54.417","0.1792"
"700.0","303.2","0.8983","0.6","228.69","12.11","229.01","0.642","-54.072","0.1783"
"710.0","302.66","0.8967","0.7","231.72","12.23","232.04","0.64","-53.721","0.1775"
"720.0","302.13","0.8951","0.7","234.74","12.36","235.07","0.632","-52.835","0.1749"
"730.0","301.6","0.8936","0.7","237.76","12.48","238.09","0.628","-52.378","0.1737"
"740.0","301.08","0.892","0.7","240.77","12.61","241.1","0.624","-51.829","0.1721"
"750.0","300.57","0.8905","0.7","243.78","12.73","244.11","0.625","-51.718","0.1721"
"760.0","300.05","0.889","0.7","246.78","12.85","247.11","0.627","-51.74","0.1724"
"770.0","299.52","0.8874","0.7","249.77","12.97","250.11","0.625","-51.373","0.1715"
"780.0","299.01","0.8859","0.7","252.76","13.08","253.1","0.624","-51.141","0.171"
"790.0","298.5","0.8844","0.7","255.75","13.2","256.09","0.63","-51.414","0.1722"
"800.0","297.98","0.8828","0.7","258.73","13.32","259.07","0.641","-52.114","0.1749"
"810.0","297.45","0.8813","0.8","261.7","13.43","262.05","0.653","-52.931","0.178"
"820.0","296.92","0.8797","0.8","264.67","13.54","265.02","0.662","-53.459","0.1801"
"830.0","296.39","0.8781","0.8","267.64","13.66","267.99","0.664","-53.405","0.1802"
"840.0","295.86","0.8766","0.8","270.6","13.77","270.95","0.662","-53.088","0.1794"
"850.0","295.34","0.875","0.8","273.55","13.88","273.9","0.659","-52.631","0.1782"
"860.0","294.82","0.8735","0.8","276.5","13.98","276.86","0.654","-52.017","0.1764"
"870.0","294.31","0.872","0.8","279.45","14.09","279.8","0.645","-51.149","0.1738"
"880.0","293.8","0.8705","0.8","282.39","14.2","282.74","0.634","-50.097","0.1705"
"890.0","293.3","0.869","0.8","285.32","14.3","285.68","0.626","-49.301","0.1681"
"900.0","292.81","0.8676","0.8","288.25","14.41","288.61","0.616","-48.382","0.1652"
"910.0","292.33","0.8661","0.9","291.17","14.51","291.53","0.609","-47.67","0.1631"
"920.0","291.86","0.8648","0.9","294.09","14.61","294.45","0.601","-46.877","0.1606"
"930.0","291.39","0.8634","0.9","297.01","14.71","297.37","0.597","-46.419","0.1593"
"940.0","290.91","0.8619","0.9","299.92","14.81","300.28","0.602","-46.686","0.1605"
"950.0","290.43","0.8605","0.9","302.82","14.91","303.19","0.615","-47.527","0.1636"
"960.0","289.95","0.8591","0.9","305.72","15.0","306.09","0.629","-48.407","0.167"
"970.0","289.46","0.8576","0.9","308.62","15.1","308.99","0.642","-49.246","0.1701"
"980.0","288.97","0.8562","0.9","311.51","15.19","311.88","0.653","-49.929","0.1728"
"990.0","288.49","0.8548","0.9","314.4","15.29","314.77","0.661","-50.351","0.1745"
"1000.0","287.99","0.8533","1.0","317.28","15.38","317.65","0.66","-50.062","0.1738"
"1010.0","287.5","0.8518","1.0","320.15","15.47","320.53","0.65","-49.181","0.1711"
"1020.0","287.01","0.8504","1.0","323.02","15.56","323.4","0.639","-48.216","0.168"
"1030.0","286.53","0.849","1.0","325.89","15.65","326.27","0.627","-47.112","0.1644"
"1040.0","286.06","0.8476","1.0","328.75","15.74","329.13","0.624","-46.775","0.1635"
"1050.0","285.59","0.8462","1.0","331.61","15.82","331.99","0.622","-46.41","0.1625"
"1060.0","285.12","0.8448","1.0","334.46","15.91","334.84","0.62","-46.178","0.162"
"1070.0","284.67","0.8435","1.0","337.31","15.99","337.69","0.616","-45.712","0.1606"
"1080.0","284.21","0.8421","1.0","340.16","16.08","340.54","0.612","-45.252","0.1592"
"1090.0","283.76","0.8408","1.1","342.99","16.16","343.37","0.612","-45.127","0.159"
"1100.0","283.31","0.8395","1.1","345.83","16.24","346.21","0.61","-44.804","0.1581"
"1110.0","282.86","0.8381","1.1","348.66","16.32","349.04","0.609","-44.639","0.1578"
"1120.0","282.41","0.8368","1.1","351.49","16.4","351.87","0.609","-44.492","0.1575"
"1130.0","281.96","0.8355","1.1","354.31","16.48","354.69","0.615","-44.788","0.1589"
"1140.0","281.51","0.8341","1.1","357.12","16.55","357.51","0.621","-45.034","0.16"
"1150.0","281.06","0.8328","1.1","359.94","16.63","360.32","0.626","-45.271","0.1611"
"1160.0","280.61","0.8315","1.1","362.74","16.7","363.13","0.63","-45.367","0.1617"
"1170.0","280.16","0.8301","1.1","365.55","16.78","365.93","0.634","-45.555","0.1626"
"1180.0","279.7","0.8288","1.2","368.35","16.85","368.73","0.64","-45.792","0.1637"
"1190.0","279.25","0.8274","1.2","371.14","16.92","371.53","0.64","-45.645","0.1635"
"1200.0","278.79","0.8261","1.2","373.93","16.99","374.32","0.638","-45.394","0.1628"
"1210.0","278.34","0.8248","1.2","376.72","17.06","377.1","0.636","-45.082","0.162"
"1220.0","277.89","0.8235","1.2","379.5","17.13","379.88","0.635","-44.879","0.1615"
