650.0,282.56,0.8417,0.6,194.55,9.22,194.77,0.646,-47.795,0.1692
660.0,282.08,0.8403,0.7,197.37,9.33,197.59,0.642,-47.312,0.1677
670.0,281.61,0.8389,0.7,200.19,9.43,200.41,0.64,-46.992,0.1669
680.0,281.15,0.8375,0.7,203.0,9.53,203.22,0.645,-47.254,0.1681
690.0,280.67,0.8361,0.7,205.8,9.63,206.03,0.646,-47.154,0.168
700.0,280.2,0.8347,0.7,208.61,9.72,208.83,0.639,-46.446,0.1658
710.0,279.72,0.8333,0.7,211.41,9.82,211.63,0.643,-46.585,0.1665
720.0,279.26,0.8319,0.7,214.2,9.91,214.43,0.65,-46.958,0.1682
730.0,278.8,0.8306,0.7,216.99,10.01,217.22,0.648,-46.69,0.1675
740.0,278.34,0.8292,0.7,219.77,10.1,220.0,0.647,-46.434,0.1668
750.0,277.87,0.8278,0.7,222.55,10.19,222.79,0.646,-46.205,0.1663
760.0,277.41,0.8264,0.8,225.33,10.28,225.56,0.646,-46.064,0.1661
770.0,276.95,0.8251,0.8,228.1,10.37,228.33,0.64,-45.486,0.1642
780.0,276.5,0.8237,0.8,230.86,10.46,231.1,0.636,-45.059,0.163
790.0,276.03,0.8223,0.8,233.63,10.55,233.86,0.64,-45.178,0.1637
800.0,275.58,0.821,0.8,236.38,10.63,236.62,0.651,-45.764,0.1661
810.0,275.12,0.8196,0.8,239.14,10.72,239.38,0.661,-46.309,0.1683
820.0,274.67,0.8183,0.8,241.88,10.8,242.12,0.647,-45.214,0.1646
830.0,274.22,0.817,0.8,244.63,10.89,244.87,0.643,-44.749,0.1632
840.0,273.79,0.8157,0.8,247.37,10.97,247.61,0.633,-43.942,0.1605
850.0,273.36,0.8144,0.9,250.1,11.05,250.34,0.622,-43.081,0.1576
860.0,272.91,0.8131,0.9,252.83,11.13,253.08,0.616,-42.533,0.1559
870.0,272.47,0.8117,0.9,255.56,11.2,255.8,0.619,-42.572,0.1563
880.0,272.03,0.8104,0.9,258.28,11.28,258.53,0.631,-43.259,0.159
890.0,271.6,0.8092,0.9,261.0,11.36,261.24,0.642,-43.874,0.1615
900.0,271.18,0.8079,0.9,263.71,11.43,263.96,0.657,-44.695,0.1648
910.0,270.73,0.8066,0.9,266.42,11.51,266.67,0.663,-45.005,0.1662
920.0,270.28,0.8052,0.9,269.12,11.58,269.37,0.672,-45.462,0.1682
930.0,269.83,0.8039,1.0,271.82,11.65,272.07,0.674,-45.381,0.1682
