"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","333.7","0.9941","0.0","0.0","0.0","0.0","0.8","-82.405","0.2469"
"10.0","332.88","0.9916","0.0","3.33","0.19","3.33","0.804","-82.405","0.2476"
"20.0","332.05","0.9891","0.0","6.65","0.38","6.66","0.808","-82.405","0.2482"
"30.0","331.23","0.9867","0.0","9.96","0.57","9.97","0.812","-82.405","0.2488"
"40.0","330.41","0.9842","0.0","13.26","0.76","13.28","0.816","-82.405","0.2494"
"50.0","329.58","0.9818","0.0","16.56","0.94","16.58","0.82","-82.405","0.25"
"60.0","328.76","0.9793","0.1","19.84","1.13","19.87","0.824","-82.405","0.2507"
"70.0","327.93","0.9769","0.1","23.12","1.31","23.16","0.829","-82.405","0.2513"
"80.0","327.11","0.9744","0.1","26.39","1.49","26.43","0.833","-82.405","0.2519"
"90.0","326.29","0.972","0.1","29.65","1.67","29.7","0.837","-82.405","0.2526"
"100.0","325.46","0.9695","0.1","32.91","1.85","32.96","0.841","-82.405","0.2532"
"110.0","324.64","0.967","0.1","36.15","2.03","36.21","0.846","-82.405","0.2538"
"120.0","323.81","0.9646","0.1","39.39","2.2","39.45","0.85","-82.405","0.2545"
"130.0","322.99","0.9621","0.1","42.62","2.38","42.69","0.854","-82.405","0.2551"
"140.0","322.17","0.9597","0.1","45.84","2.55","45.91","0.859","-82.405","0.2558"
"150.0","321.34","0.9572","0.1","49.05","2.72","49.13","0.863","-82.405","0.2564"
"160.0","320.52","0.9548","0.1","52.26","2.89","52.34","0.86","-81.685","0.2549"
"170.0","319.7","0.9523","0.2","55.45","3.06","55.54","0.868","-82.031","0.2566"
"180.0","318.88","0.9499","0.2","58.64","3.23","58.73","0.867","-81.526","0.2557"
"190.0","318.08","0.9475","0.2","61.82","3.39","61.92","0.868","-81.178","0.2552"
"200.0","317.28","0.9451","0.2","65.0","3.55","65.09","0.862","-80.177","0.2527"
"210.0","316.47","0.9427","0.2","68.16","3.72","68.26","0.855","-79.155","0.2501"
"220.0","315.69","0.9404","0.2","71.32","3.88","71.42","0.846","-77.955","0.2469"
"230.0","314.93","0.9381","0.2","74.47","4.04","74.58","0.83","-76.077","0.2416"
"240.0","314.19","0.9359","0.2","77.61","4.2","77.72","0.812","-74.133","0.236"
"250.0","313.45","0.9337","0.2","80.74","4.36","80.86","0.793","-72.04","0.2298"
"260.0","312.74","0.9316","0.2","83.87","4.51","83.99","0.781","-70.666","0.226"
"270.0","312.04","0.9295","0.2","86.99","4.67","87.11","0.761","-68.534","0.2196"
"280.0","311.35","0.9275","0.3","90.1","4.82","90.23","0.749","-67.158","0.2157"
"290.0","310.67","0.9254","0.3","93.21","4.97","93.34","0.743","-66.348","0.2136"
"300.0","310.01","0.9235","0.3","96.31","5.12","96.45","0.741","-65.854","0.2124"
"310.0","309.35","0.9215","0.3","99.4","5.27","99.54","0.742","-65.738","0.2125"
"320.0","308.7","0.9196","0.3","102.49","5.42","102.63","0.742","-65.388","0.2118"
"330.0","308.05","0.9176","0.3","105.57","5.57","105.72","0.738","-64.779","0.2103"
"340.0","307.41","0.9157","0.3","108.64","5.71","108.79","0.732","-63.993","0.2082"
"350.0","306.78","0.9139","0.3","111.71","5.86","111.86","0.721","-62.789","0.2047"
"360.0","306.17","0.912","0.3","114.77","6.0","114.93","0.706","-61.286","0.2002"
"370.0","305.56","0.9102","0.3","117.83","6.14","117.99","0.691","-59.702","0.1954"
"380.0","304.96","0.9084","0.4","120.88","6.28","121.04","0.686","-59.049","0.1936"
"390.0","304.36","0.9067","0.4","123.92","6.42","124.09","0.683","-58.596","0.1925"
"400.0","303.77","0.9049","0.4","126.96","6.56","127.13","0.682","-58.226","0.1917"
"410.0","303.19","0.9032","0.4","129.99","6.7","130.16","0.681","-57.934","0.1911"
"420.0","302.62","0.9015","0.4","133.02","6.83","133.19","0.68","-57.671","0.1906"
"430.0","302.06","0.8998","0.4","136.04","6.97","136.21","0.679","-57.373","0.1899"
"440.0","301.49","0.8981","0.4","139.05","7.1","139.23","0.671","-56.449","0.1872"
"450.0","300.93","0.8964","0.4","142.06","7.23","142.24","0.659","-55.226","0.1835"
"460.0","300.37","0.8948","0.4","145.06","7.36","145.25","0.648","-54.121","0.1802"
"470.0","299.82","0.8932","0.4","148.06","7.49","148.25","0.646","-53.81","0.1795"
"480.0","299.28","0.8915","0.4","151.06","7.62","151.25","0.653","-54.128","0.1809"
"490.0","298.73","0.8899","0.5","154.04","7.75","154.24","0.664","-54.876","0.1837"
"500.0","298.18","0.8883","0.5","157.02","7.87","157.22","0.674","-55.432","0.1859"
"510.0","297.63","0.8866","0.5","160.0","8.0","160.2","0.678","-55.613","0.1869"
"520.0","297.08","0.885","0.5","162.97","8.12","163.17","0.682","-55.66","0.1874"
"530.0","296.53","0.8834","0.5","165.94","8.24","166.14","0.681","-55.446","0.187"
"540.0","295.99","0.8817","0.5","168.9","8.36","169.1","0.674","-54.621","0.1845"
"550.0","295.44","0.8801","0.5","171.85","8.48","172.06","0.663","-53.545","0.1812"
"560.0","294.91","0.8785","0.5","174.8","8.6","175.01","0.65","-52.366","0.1776"
"570.0","294.38","0.877","0.5","177.75","8.72","177.96","0.647","-51.905","0.1763"
"580.0","293.85","0.8754","0.6","180.69","8.83","180.9","0.655","-52.355","0.1782"
"590.0","293.33","0.8738","0.6","183.62","8.95","183.84","0.655","-52.132","0.1777"
"600.0","292.81","0.8723","0.6","186.55","9.06","186.77","0.659","-52.285","0.1786"
"610.0","292.28","0.8707","0.6","189.47","9.18","189.69","0.666","-52.653","0.1802"
"620.0","291.76","0.8691","0.6","192.39","9.29","192.61","0.671","-52.885","0.1813"
"630.0","291.23","0.8676","0.6","195.3","9.4","195.53","0.678","-53.187","0.1826"
"640.0","290.71","0.866","0.6","198.21","9.51","198.44","0.677","-52.921","0.182"
"650.0","290.18","0.8644","0.6","201.11","9.61","201.34","0.667","-51.933","0.179"
"660.0","289.67","0.8629","0.6","204.01","9.72","204.24","0.658","-51.063","0.1763"
"670.0","289.17","0.8614","0.6","206.9","9.83","207.14","0.652","-50.441","0.1744"
"680.0","288.67","0.8599","0.7","209.79","9.93","210.03","0.637","-49.118","0.1702"
"690.0","288.17","0.8585","0.7","212.67","10.03","212.91","0.63","-48.423","0.168"
"700.0","287.68","0.857","0.7","215.55","10.14","215.79","0.628","-48.125","0.1673"
"710.0","287.2","0.8556","0.7","218.42","10.24","218.66","0.628","-47.912","0.1668"
"720.0","286.71","0.8541","0.7","221.29","10.34","221.53","0.632","-48.112","0.1678"
"730.0","286.23","0.8527","0.7","224.15","10.44","224.4","0.64","-48.532","0.1696"
"740.0","285.74","0.8513","0.7","227.01","10.53","227.26","0.647","-48.883","0.1711"
"750.0","285.25","0.8498","0.7","229.87","10.63","230.11","0.656","-49.381","0.1731"
"760.0","284.76","0.8483","0.7","232.72","10.72","232.96","0.662","-49.679","0.1745"
"770.0","284.26","0.8468","0.8","235.56","10.82","235.81","0.668","-49.924","0.1756"
"780.0","283.76","0.8454","0.8","238.4","10.91","238.65","0.671","-50.004","0.1762"
"790.0","283.26","0.8439","0.8","241.23","11.0","241.48","0.677","-50.26","0.1774"
"800.0","282.76","0.8424","0.8","244.06","11.09","244.31","0.684","-50.567","0.1788"
"810.0","282.25","0.8409","0.8","246.88","11.18","247.14","0.688","-50.71","0.1797"
"820.0","281.75","0.8394","0.8","249.7","11.27","249.96","0.691","-50.724","0.18"
"830.0","281.25","0.8379","0.8","252.52","11.36","252.77","0.688","-50.286","0.1788"
"840.0","280.75","0.8364","0.8","255.33","11.44","255.58","0.683","-49.792","0.1774"
"850.0","280.27","0.835","0.8","258.13","11.53","258.39","0.665","-48.287","0.1723"
"860.0","279.81","0.8336","0.8","260.93","11.61","261.19","0.641","-46.419","0.1659"
"870.0","279.34","0.8322","0.9","263.72","11.7","263.98","0.623","-44.958","0.1609"
"880.0","278.89","0.8309","0.9","266.51","11.78","266.77","0.615","-44.25","0.1587"
"890.0","278.43","0.8295","0.9","269.3","11.86","269.56","0.61","-43.732","0.1571"
"900.0","277.99","0.8282","0.9","272.08","11.94","272.34","0.611","-43.674","0.1571"
"910.0","277.55","0.8269","0.9","274.86","12.02","275.12","0.619","-44.079","0.1588"
"920.0","277.11","0.8256","0.9","277.63","12.09","277.89","0.626","-44.464","0.1605"
"930.0","276.67","0.8243","0.9","280.4","12.17","280.66","0.636","-45.006","0.1627"
"940.0","276.22","0.8229","0.9","283.16","12.24","283.43","0.643","-45.371","0.1643"
"950.0","275.77","0.8216","0.9","285.92","12.32","286.19","0.641","-45.049","0.1634"
"960.0","275.31","0.8202","1.0","288.68","12.39","288.94","0.639","-44.789","0.1627"
"970.0","274.87","0.8189","1.0","291.43","12.46","291.69","0.642","-44.862","0.1632"
"980.0","274.42","0.8176","1.0","294.17","12.53","294.44","0.644","-44.85","0.1634"
"990.0","273.97","0.8162","1.0","296.92","12.6","297.18","0.647","-44.887","0.1638"
"1000.0","273.52","0.8149","1.0","299.65","12.67","299.92","0.649","-44.911","0.1642"
"1010.0","273.08","0.8136","1.0","302.38","12.74","302.65","0.649","-44.751","0.1639"
"1020.0","272.63","0.8123","1.0","305.11","12.8","305.38","0.649","-44.597","0.1636"
"1030.0","272.19","0.8109","1.0","307.84","12.87","308.11","0.65","-44.505","0.1635"
"1040.0","271.74","0.8096","1.1","310.56","12.93","310.83","0.648","-44.259","0.1629"
"1050.0","271.3","0.8083","1.1","313.27","13.0","313.54","0.649","-44.122","0.1626"
"1060.0","270.86","0.807","1.1","315.98","13.06","316.25","0.651","-44.127","0.1629"
"1070.0","270.41","0.8057","1.1","318.69","13.12","318.96","0.653","-44.163","0.1633"
"1080.0","269.97","0.8043","1.1","321.39","13.18","321.66","0.661","-44.53","0.165"
"1090.0","269.52","0.803","1.1","324.09","13.24","324.36","0.666","-44.69","0.1658"
"1100.0","269.08","0.8017","1.1","326.78","13.29","327.05","0.668","-44.66","0.166"
"1110.0","268.63","0.8004","1.1","329.47","13.35","329.74","0.668","-44.57","0.1659"
"1120.0","268.2","0.7991","1.1","332.15","13.41","332.42","0.661","-43.935","0.1638"
"1130.0","267.77","0.7978","1.2","334.83","13.46","335.1","0.65","-43.057","0.1608"
"1140.0","267.35","0.7965","1.2","337.51","13.51","337.78","0.635","-41.978","0.157"
"1150.0","266.92","0.7953","1.2","340.18","13.56","340.45","0.626","-41.221","0.1544"
"1160.0","266.5","0.794","1.2","342.85","13.62","343.12","0.621","-40.746","0.1529"
"1170.0","266.09","0.7928","1.2","345.51","13.67","345.78","0.618","-40.463","0.1521"
"1180.0","265.68","0.7916","1.2","348.17","13.71","348.44","0.622","-40.582","0.1528"
"1190.0","265.28","0.7904","1.2","350.82","13.76","351.09","0.625","-40.668","0.1533"
"1200.0","264.87","0.7892","1.2","353.47","13.81","353.74","0.634","-41.127","0.1553"
"1210.0","264.46","0.788","1.3","356.12","13.86","356.39","0.642","-41.487","0.1569"
"1220.0","264.05","0.7868","1.3","358.76","13.9","359.03","0.644","-41.487","0.1571"
