"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","315.17","0.9353","0.0","0.0","0.0","0.0","0.71","-67.787","0.2151"
"10.0","314.5","0.9333","0.0","3.14","0.17","3.15","0.713","-67.787","0.2155"
"20.0","313.82","0.9313","0.0","6.28","0.34","6.29","0.716","-67.787","0.216"
"30.0","313.14","0.9293","0.0","9.41","0.51","9.43","0.72","-67.787","0.2165"
"40.0","312.46","0.9273","0.0","12.54","0.67","12.55","0.723","-67.787","0.2169"
"50.0","311.78","0.9253","0.0","15.65","0.84","15.67","0.726","-67.787","0.2174"
"60.0","311.11","0.9233","0.1","18.76","1.0","18.79","0.729","-67.787","0.2179"
"70.0","310.43","0.9213","0.1","21.87","1.16","21.9","0.732","-67.787","0.2184"
"80.0","309.75","0.9192","0.1","24.96","1.32","25.0","0.736","-67.787","0.2188"
"90.0","309.07","0.9172","0.1","28.05","1.48","28.09","0.739","-67.787","0.2193"
"100.0","308.4","0.9152","0.1","31.14","1.64","31.18","0.742","-67.787","0.2198"
"110.0","307.72","0.9132","0.1","34.21","1.79","34.26","0.745","-67.787","0.2203"
"120.0","307.0","0.9111","0.1","37.28","1.95","37.33","0.7","-63.382","0.2065"
"130.0","306.37","0.9092","0.1","40.35","2.1","40.4","0.697","-62.84","0.2051"
"140.0","305.73","0.9073","0.1","43.4","2.26","43.46","0.664","-59.644","0.1951"
"150.0","305.11","0.9055","0.1","46.45","2.41","46.51","0.649","-58.093","0.1904"
"160.0","304.53","0.9038","0.2","49.5","2.56","49.56","0.653","-58.205","0.1911"
"170.0","303.96","0.9021","0.2","52.54","2.71","52.61","0.672","-59.7","0.1964"
"180.0","303.34","0.9002","0.2","55.57","2.85","55.64","0.644","-56.946","0.1877"
"190.0","302.78","0.8986","0.2","58.6","3.0","58.67","0.642","-56.593","0.1869"
"200.0","302.23","0.8969","0.2","61.62","3.14","61.7","0.654","-57.456","0.1901"
"210.0","301.68","0.8953","0.2","64.63","3.29","64.72","0.636","-55.643","0.1844"
"220.0","301.13","0.8936","0.2","67.64","3.43","67.73","0.615","-53.593","0.178"
"230.0","300.57","0.892","0.2","70.65","3.57","70.74","0.613","-53.218","0.1771"
"240.0","300.02","0.8904","0.2","73.65","3.71","73.74","0.625","-54.097","0.1803"
"250.0","299.48","0.8888","0.2","76.64","3.85","76.74","0.634","-54.672","0.1826"
"260.0","298.94","0.8872","0.2","79.63","3.99","79.73","0.649","-55.703","0.1863"
"270.0","298.39","0.8855","0.3","82.62","4.12","82.72","0.66","-56.491","0.1893"
"280.0","297.83","0.8839","0.3","85.59","4.26","85.7","0.65","-55.414","0.1861"
"290.0","297.28","0.8822","0.3","88.57","4.39","88.68","0.642","-54.521","0.1834"
"300.0","296.73","0.8806","0.3","91.53","4.52","91.65","0.64","-54.142","0.1825"
"310.0","296.19","0.879","0.3","94.5","4.66","94.61","0.642","-54.127","0.1827"
"320.0","295.66","0.8774","0.3","97.45","4.79","97.57","0.634","-53.247","0.1801"
"330.0","295.13","0.8759","0.3","100.4","4.91","100.52","0.627","-52.475","0.1778"
"340.0","294.61","0.8743","0.3","103.35","5.04","103.47","0.626","-52.23","0.1773"
"350.0","294.07","0.8727","0.3","106.29","5.17","106.42","0.631","-52.438","0.1783"
"360.0","293.55","0.8712","0.3","109.23","5.29","109.35","0.636","-52.665","0.1794"
"370.0","293.02","0.8696","0.4","112.16","5.42","112.29","0.64","-52.807","0.1802"
"380.0","292.5","0.8681","0.4","115.08","5.54","115.21","0.644","-52.926","0.1809"
"390.0","291.99","0.8665","0.4","118.0","5.66","118.14","0.635","-52.01","0.1781"
"400.0","291.47","0.865","0.4","120.92","5.78","121.05","0.624","-50.95","0.1748"
"410.0","290.95","0.8635","0.4","123.83","5.9","123.97","0.625","-50.843","0.1748"
"420.0","290.44","0.8619","0.4","126.73","6.02","126.87","0.631","-51.18","0.1762"
"430.0","289.93","0.8604","0.4","129.63","6.14","129.77","0.631","-50.964","0.1758"
"440.0","289.43","0.859","0.4","132.52","6.25","132.67","0.632","-50.838","0.1757"
"450.0","288.92","0.8575","0.4","135.41","6.37","135.56","0.634","-50.842","0.176"
"460.0","288.41","0.8559","0.4","138.3","6.48","138.45","0.636","-50.802","0.1762"
"470.0","287.88","0.8544","0.5","141.18","6.59","141.33","0.644","-51.229","0.178"
"480.0","287.36","0.8528","0.5","144.05","6.7","144.21","0.661","-52.408","0.1824"
"490.0","286.85","0.8513","0.5","146.92","6.81","147.08","0.67","-52.947","0.1846"
"500.0","286.33","0.8498","0.5","149.78","6.92","149.94","0.671","-52.799","0.1844"
"510.0","285.8","0.8482","0.5","152.64","7.03","152.8","0.67","-52.52","0.1838"
"520.0","285.27","0.8466","0.5","155.5","7.14","155.66","0.667","-52.154","0.1828"
"530.0","284.75","0.8451","0.5","158.34","7.24","158.51","0.657","-51.157","0.1797"
"540.0","284.26","0.8436","0.5","161.19","7.34","161.36","0.638","-49.521","0.1742"
"550.0","283.77","0.8422","0.5","164.03","7.45","164.2","0.628","-48.55","0.1711"
"560.0","283.28","0.8407","0.6","166.86","7.55","167.03","0.625","-48.211","0.1702"
"570.0","282.77","0.8392","0.6","169.69","7.65","169.86","0.635","-48.793","0.1726"
"580.0","282.26","0.8377","0.6","172.51","7.75","172.69","0.661","-50.521","0.179"
"590.0","281.75","0.8362","0.6","175.33","7.85","175.51","0.686","-52.295","0.1856"
"600.0","281.24","0.8347","0.6","178.14","7.94","178.32","0.707","-53.621","0.1907"
"610.0","280.73","0.8332","0.6","180.95","8.04","181.13","0.706","-53.351","0.19"
"620.0","280.2","0.8316","0.6","183.76","8.13","183.94","0.681","-51.284","0.183"
"630.0","279.68","0.8301","0.6","186.55","8.23","186.74","0.661","-49.656","0.1775"
"640.0","279.18","0.8286","0.6","189.35","8.32","189.53","0.661","-49.442","0.1771"
"650.0","278.69","0.8271","0.6","192.13","8.41","192.32","0.654","-48.724","0.1748"
"660.0","278.22","0.8257","0.7","194.92","8.5","195.1","0.642","-47.738","0.1716"
"670.0","277.75","0.8243","0.7","197.7","8.59","197.88","0.632","-46.817","0.1686"
"680.0","277.28","0.8229","0.7","200.47","8.68","200.66","0.628","-46.391","0.1673"
"690.0","276.81","0.8215","0.7","203.24","8.76","203.43","0.616","-45.308","0.1637"
"700.0","276.36","0.8202","0.7","206.0","8.85","206.19","0.61","-44.737","0.1619"
"710.0","275.91","0.8189","0.7","208.77","8.93","208.96","0.618","-45.208","0.1639"
"720.0","275.46","0.8175","0.7","211.52","9.02","211.71","0.624","-45.491","0.1651"
"730.0","275.0","0.8162","0.7","214.27","9.1","214.47","0.628","-45.592","0.1658"
"740.0","274.53","0.8148","0.7","217.02","9.18","217.21","0.641","-46.365","0.1689"
"750.0","274.06","0.8134","0.8","219.76","9.26","219.96","0.66","-47.59","0.1737"
"760.0","273.59","0.812","0.8","222.5","9.34","222.69","0.671","-48.173","0.1761"
"770.0","273.12","0.8106","0.8","225.23","9.42","225.43","0.662","-47.352","0.1734"
"780.0","272.66","0.8092","0.8","227.96","9.49","228.16","0.651","-46.467","0.1704"
"790.0","272.2","0.8079","0.8","230.68","9.57","230.88","0.643","-45.687","0.1679"
"800.0","271.74","0.8065","0.8","233.4","9.64","233.6","0.627","-44.426","0.1635"
"810.0","271.31","0.8052","0.8","236.12","9.72","236.32","0.608","-42.951","0.1583"
"820.0","270.88","0.804","0.8","238.83","9.79","239.03","0.6","-42.263","0.156"
"830.0","270.46","0.8027","0.8","241.53","9.86","241.73","0.596","-41.865","0.1548"
"840.0","270.04","0.8015","0.9","244.23","9.93","244.44","0.59","-41.324","0.153"
"850.0","269.62","0.8002","0.9","246.93","10.0","247.13","0.594","-41.443","0.1537"
"860.0","269.19","0.799","0.9","249.63","10.07","249.83","0.608","-42.277","0.1571"
"870.0","268.77","0.7977","0.9","252.31","10.13","252.52","0.622","-43.136","0.1605"
"880.0","268.35","0.7965","0.9","255.0","10.2","255.2","0.62","-42.809","0.1595"
"890.0","267.93","0.7952","0.9","257.68","10.26","257.88","0.624","-42.952","0.1603"
"900.0","267.49","0.7939","0.9","260.36","10.33","260.56","0.629","-43.19","0.1615"
"910.0","267.05","0.7926","0.9","263.03","10.39","263.23","0.632","-43.213","0.1618"
"920.0","266.61","0.7913","1.0","265.7","10.45","265.9","0.64","-43.666","0.1638"
"930.0","266.18","0.7901","1.0","268.36","10.51","268.57","0.641","-43.573","0.1637"
"940.0","265.76","0.7888","1.0","271.02","10.57","271.23","0.639","-43.316","0.163"
"950.0","265.33","0.7875","1.0","273.68","10.63","273.88","0.627","-42.326","0.1595"
"960.0","264.91","0.7863","1.0","276.33","10.69","276.53","0.615","-41.381","0.1562"
"970.0","264.5","0.7851","1.0","278.97","10.74","279.18","0.6","-40.276","0.1523"
"980.0","264.1","0.7839","1.0","281.62","10.8","281.82","0.59","-39.471","0.1495"
"990.0","263.71","0.7827","1.0","284.26","10.85","284.46","0.58","-38.686","0.1467"
"1000.0","263.33","0.7816","1.0","286.89","10.9","287.1","0.57","-37.924","0.144"
"1010.0","262.95","0.7805","1.1","289.52","10.96","289.73","0.569","-37.766","0.1436"
"1020.0","262.56","0.7793","1.1","292.15","11.01","292.36","0.571","-37.775","0.1439"
"1030.0","262.18","0.7782","1.1","294.77","11.06","294.98","0.584","-38.528","0.147"
"1040.0","261.8","0.7771","1.1","297.39","11.1","297.6","0.589","-38.715","0.1479"
"1050.0","261.41","0.7759","1.1","300.01","11.15","300.22","0.601","-39.389","0.1507"
"1060.0","261.02","0.7748","1.1","302.62","11.2","302.83","0.597","-39.018","0.1495"
"1070.0","260.63","0.7736","1.1","305.23","11.24","305.44","0.595","-38.748","0.1487"
"1080.0","260.24","0.7725","1.1","307.83","11.29","308.04","0.596","-38.71","0.1488"
"1090.0","259.85","0.7713","1.2","310.43","11.33","310.64","0.598","-38.726","0.149"
"1100.0","259.48","0.7702","1.2","313.03","11.37","313.24","0.588","-38.0","0.1465"
"1110.0","259.11","0.7691","1.2","315.62","11.41","315.83","0.567","-36.484","0.1408"
"1120.0","258.75","0.768","1.2","318.21","11.46","318.42","0.557","-35.774","0.1383"
"1130.0","258.38","0.767","1.2","320.8","11.49","321.01","0.555","-35.53","0.1375"
"1140.0","258.02","0.7659","1.2","323.38","11.53","323.59","0.554","-35.393","0.1372"
"1150.0","257.67","0.7648","1.2","325.96","11.57","326.17","0.555","-35.367","0.1373"
"1160.0","257.32","0.7638","1.2","328.54","11.61","328.74","0.562","-35.702","0.1387"
"1170.0","256.97","0.7628","1.2","331.11","11.64","331.31","0.556","-35.232","0.1371"
"1180.0","256.62","0.7618","1.3","333.68","11.67","333.88","0.542","-34.264","0.1335"
"1190.0","256.27","0.7607","1.3","336.24","11.71","336.45","0.539","-33.952","0.1325"
"1200.0","255.92","0.7597","1.3","338.8","11.74","339.01","0.547","-34.374","0.1343"
"1210.0","255.59","0.7587","1.3","341.36","11.77","341.56","0.549","-34.385","0.1345"
"1220.0","255.25","0.7577","1.3","343.92","11.8","344.12","0.542","-33.855","0.1326"
