"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","399.99","1.1786","0.0","0.0","0.0","0.0","0.865","-126.498","0.3163"
"10.0","398.73","1.1749","0.0","3.99","0.17","3.99","0.87","-126.498","0.3173"
"20.0","397.46","1.1711","0.0","7.97","0.35","7.98","0.876","-126.498","0.3183"
"30.0","396.2","1.1674","0.0","11.93","0.52","11.94","0.881","-126.498","0.3193"
"40.0","394.93","1.1637","0.0","15.88","0.69","15.9","0.887","-126.498","0.3203"
"50.0","393.67","1.1599","0.0","19.82","0.85","19.84","0.893","-126.498","0.3213"
"60.0","392.4","1.1562","0.0","23.75","1.02","23.77","0.899","-126.498","0.3224"
"70.0","391.14","1.1525","0.1","27.66","1.18","27.69","0.904","-126.498","0.3234"
"80.0","389.87","1.1488","0.1","31.57","1.35","31.6","0.91","-126.498","0.3245"
"90.0","388.61","1.145","0.1","35.46","1.51","35.49","0.916","-126.498","0.3255"
"100.0","387.34","1.1413","0.1","39.33","1.67","39.37","0.922","-126.498","0.3266"
"110.0","386.08","1.1376","0.1","43.2","1.83","43.23","0.928","-126.498","0.3277"
"120.0","384.81","1.1339","0.1","47.05","1.98","47.09","0.935","-126.498","0.3287"
"130.0","383.55","1.1301","0.1","50.89","2.14","50.93","0.939","-126.242","0.3291"
"140.0","382.31","1.1265","0.1","54.71","2.29","54.76","0.921","-123.092","0.322"
"150.0","381.06","1.1228","0.1","58.53","2.45","58.58","0.898","-119.144","0.3127"
"160.0","379.85","1.1193","0.1","62.33","2.6","62.38","0.895","-118.033","0.3107"
"170.0","378.64","1.1157","0.1","66.12","2.75","66.17","0.88","-115.392","0.3048"
"180.0","377.5","1.1123","0.1","69.89","2.9","69.95","0.898","-116.943","0.3098"
"190.0","376.35","1.1089","0.1","73.66","3.04","73.72","0.907","-117.47","0.3121"
"200.0","375.19","1.1055","0.2","77.42","3.19","77.48","0.906","-116.568","0.3107"
"210.0","374.03","1.1021","0.2","81.16","3.33","81.23","0.904","-115.594","0.3091"
"220.0","372.88","1.0987","0.2","84.89","3.47","84.96","0.899","-114.301","0.3065"
"230.0","371.73","1.0953","0.2","88.61","3.62","88.68","0.898","-113.456","0.3052"
"240.0","370.58","1.0919","0.2","92.32","3.76","92.4","0.901","-113.139","0.3053"
"250.0","369.45","1.0886","0.2","96.02","3.89","96.1","0.906","-113.003","0.3059"
"260.0","368.33","1.0853","0.2","99.7","4.03","99.79","0.909","-112.656","0.3059"
"270.0","367.23","1.0821","0.2","103.38","4.17","103.46","0.904","-111.486","0.3036"
"280.0","366.14","1.0788","0.2","107.04","4.3","107.13","0.895","-109.665","0.2995"
"290.0","365.04","1.0756","0.2","110.7","4.43","110.79","0.89","-108.416","0.297"
"300.0","363.95","1.0724","0.2","114.34","4.56","114.43","0.888","-107.49","0.2953"
"310.0","362.86","1.0692","0.2","117.97","4.69","118.06","0.887","-106.743","0.2942"
"320.0","361.78","1.066","0.2","121.59","4.82","121.69","0.892","-106.67","0.2949"
"330.0","360.72","1.0629","0.3","125.2","4.95","125.3","0.898","-106.815","0.2961"
"340.0","359.67","1.0598","0.3","128.8","5.08","128.9","0.899","-106.332","0.2956"
"350.0","358.63","1.0567","0.3","132.39","5.2","132.49","0.9","-105.735","0.2948"
"360.0","357.6","1.0537","0.3","135.97","5.32","136.08","0.89","-103.964","0.2907"
"370.0","356.57","1.0506","0.3","139.54","5.45","139.65","0.867","-100.81","0.2827"
"380.0","355.55","1.0476","0.3","143.1","5.57","143.21","0.863","-99.678","0.2804"
"390.0","354.54","1.0447","0.3","146.65","5.69","146.76","0.862","-99.085","0.2795"
"400.0","353.53","1.0417","0.3","150.19","5.8","150.3","0.867","-99.06","0.2802"
"410.0","352.54","1.0388","0.3","153.71","5.92","153.83","0.882","-100.147","0.2841"
"420.0","351.54","1.0358","0.3","157.23","6.04","157.35","0.894","-100.92","0.2871"
"430.0","350.54","1.0329","0.3","160.74","6.15","160.86","0.898","-100.857","0.2877"
"440.0","349.54","1.03","0.4","164.24","6.26","164.36","0.903","-100.845","0.2885"
"450.0","348.56","1.0271","0.4","167.73","6.37","167.85","0.892","-99.084","0.2843"
"460.0","347.59","1.0242","0.4","171.21","6.48","171.33","0.873","-96.371","0.2773"
"470.0","346.63","1.0214","0.4","174.68","6.59","174.8","0.864","-94.848","0.2736"
"480.0","345.66","1.0185","0.4","178.14","6.7","178.26","0.864","-94.386","0.2731"
"490.0","344.73","1.0158","0.4","181.59","6.81","181.71","0.853","-92.654","0.2688"
"500.0","343.78","1.013","0.4","185.03","6.91","185.16","0.861","-92.94","0.2704"
"510.0","342.84","1.0102","0.4","188.46","7.02","188.59","0.872","-93.686","0.2733"
"520.0","341.9","1.0075","0.4","191.88","7.12","192.01","0.88","-93.996","0.2749"
"530.0","340.98","1.0047","0.4","195.29","7.22","195.43","0.89","-94.504","0.2772"
"540.0","340.05","1.002","0.4","198.7","7.32","198.83","0.892","-94.283","0.2773"
"550.0","339.12","0.9992","0.4","202.09","7.42","202.23","0.882","-92.721","0.2734"
"560.0","338.19","0.9965","0.5","205.48","7.51","205.62","0.877","-91.63","0.2709"
"570.0","337.29","0.9939","0.5","208.85","7.61","208.99","0.879","-91.395","0.271"
"580.0","336.37","0.9912","0.5","212.22","7.71","212.36","0.862","-89.11","0.2649"
"590.0","335.47","0.9885","0.5","215.58","7.8","215.72","0.861","-88.571","0.264"
"600.0","334.58","0.9859","0.5","218.93","7.89","219.07","0.867","-88.685","0.2651"
"610.0","333.71","0.9833","0.5","222.27","7.98","222.41","0.865","-87.991","0.2637"
"620.0","332.84","0.9807","0.5","225.6","8.07","225.74","0.862","-87.231","0.2621"
"630.0","331.97","0.9782","0.5","228.92","8.16","229.07","0.862","-86.767","0.2614"
"640.0","331.1","0.9756","0.5","232.24","8.25","232.38","0.862","-86.377","0.2609"
"650.0","330.23","0.9731","0.5","235.54","8.34","235.69","0.865","-86.209","0.2611"
"660.0","329.38","0.9706","0.6","238.84","8.42","238.99","0.862","-85.471","0.2595"
"670.0","328.53","0.9681","0.6","242.13","8.51","242.28","0.855","-84.33","0.2567"
"680.0","327.7","0.9656","0.6","245.41","8.59","245.56","0.848","-83.171","0.2538"
"690.0","326.89","0.9632","0.6","248.68","8.67","248.83","0.838","-81.822","0.2503"
"700.0","326.08","0.9609","0.6","251.95","8.75","252.1","0.824","-80.091","0.2456"
"710.0","325.3","0.9585","0.6","255.2","8.83","255.35","0.803","-77.653","0.2387"
"720.0","324.53","0.9563","0.6","258.45","8.91","258.6","0.78","-75.098","0.2314"
"730.0","323.79","0.9541","0.6","261.69","8.98","261.84","0.757","-72.582","0.2242"
"740.0","323.06","0.952","0.6","264.92","9.06","265.08","0.747","-71.299","0.2207"
"750.0","322.35","0.9499","0.6","268.15","9.14","268.31","0.736","-69.904","0.2169"
"760.0","321.66","0.9478","0.6","271.37","9.21","271.53","0.725","-68.571","0.2132"
"770.0","320.98","0.9458","0.7","274.58","9.28","274.74","0.71","-66.879","0.2084"
"780.0","320.32","0.9439","0.7","277.79","9.35","277.95","0.701","-65.726","0.2052"
"790.0","319.67","0.942","0.7","280.99","9.42","281.15","0.696","-65.053","0.2035"
"800.0","319.01","0.94","0.7","284.18","9.49","284.34","0.693","-64.462","0.2021"
"810.0","318.36","0.9381","0.7","287.37","9.56","287.53","0.687","-63.653","0.1999"
"820.0","317.72","0.9362","0.7","290.55","9.63","290.71","0.684","-63.133","0.1987"
"830.0","317.1","0.9344","0.7","293.72","9.69","293.88","0.682","-62.707","0.1978"
"840.0","316.48","0.9326","0.7","296.89","9.76","297.05","0.678","-62.059","0.1961"
"850.0","315.87","0.9308","0.7","300.05","9.82","300.21","0.672","-61.295","0.1941"
"860.0","315.26","0.929","0.7","303.2","9.88","303.37","0.664","-60.374","0.1915"
"870.0","314.65","0.9272","0.8","306.35","9.94","306.52","0.658","-59.538","0.1892"
"880.0","314.05","0.9254","0.8","309.5","10.0","309.66","0.657","-59.215","0.1886"
"890.0","313.45","0.9237","0.8","312.63","10.06","312.8","0.661","-59.382","0.1895"
"900.0","312.86","0.9219","0.8","315.77","10.12","315.93","0.661","-59.195","0.1892"
"910.0","312.28","0.9202","0.8","318.89","10.18","319.05","0.664","-59.185","0.1895"
"920.0","311.69","0.9185","0.8","322.01","10.23","322.17","0.666","-59.112","0.1897"
"930.0","311.11","0.9168","0.8","325.12","10.29","325.29","0.657","-58.143","0.1869"
"940.0","310.54","0.9151","0.8","328.23","10.34","328.4","0.647","-57.035","0.1837"
"950.0","309.97","0.9134","0.8","331.34","10.39","331.5","0.639","-56.099","0.181"
"960.0","309.4","0.9117","0.9","334.43","10.44","334.59","0.633","-55.366","0.179"
"970.0","308.84","0.9101","0.9","337.52","10.5","337.69","0.635","-55.364","0.1793"
"980.0","308.29","0.9085","0.9","340.61","10.54","340.77","0.639","-55.563","0.1802"
"990.0","307.73","0.9068","0.9","343.69","10.59","343.85","0.638","-55.2","0.1794"
"1000.0","307.19","0.9052","0.9","346.76","10.64","346.93","0.637","-54.953","0.1789"
"1010.0","306.65","0.9037","0.9","349.83","10.69","350.0","0.639","-54.934","0.1791"
"1020.0","306.1","0.902","0.9","352.9","10.73","353.06","0.637","-54.573","0.1783"
"1030.0","305.55","0.9004","0.9","355.95","10.77","356.12","0.635","-54.178","0.1773"
"1040.0","305.01","0.8988","0.9","359.01","10.82","359.17","0.634","-53.918","0.1768"
"1050.0","304.46","0.8972","0.9","362.05","10.86","362.22","0.636","-53.923","0.1771"
"1060.0","303.93","0.8956","1.0","365.1","10.9","365.26","0.638","-53.875","0.1773"
"1070.0","303.39","0.8941","1.0","368.13","10.94","368.3","0.641","-53.961","0.1779"
"1080.0","302.86","0.8925","1.0","371.17","10.98","371.33","0.643","-53.88","0.1779"
"1090.0","302.33","0.8909","1.0","374.19","11.02","374.35","0.637","-53.199","0.176"
"1100.0","301.8","0.8894","1.0","377.21","11.05","377.37","0.625","-52.032","0.1724"
"1110.0","301.28","0.8879","1.0","380.23","11.09","380.39","0.62","-51.419","0.1707"
"1120.0","300.76","0.8863","1.0","383.24","11.12","383.4","0.619","-51.174","0.1701"
"1130.0","300.25","0.8848","1.0","386.24","11.16","386.4","0.621","-51.195","0.1705"
"1140.0","299.73","0.8833","1.0","389.24","11.19","389.4","0.623","-51.128","0.1706"
"1150.0","299.22","0.8818","1.1","392.24","11.22","392.4","0.623","-50.979","0.1704"
"1160.0","298.72","0.8803","1.1","395.23","11.25","395.39","0.625","-50.991","0.1707"
"1170.0","298.22","0.8788","1.1","398.21","11.28","398.37","0.627","-50.937","0.1708"
"1180.0","297.71","0.8774","1.1","401.19","11.31","401.35","0.626","-50.7","0.1703"
"1190.0","297.2","0.8759","1.1","404.17","11.34","404.33","0.623","-50.267","0.1691"
"1200.0","296.7","0.8744","1.1","407.14","11.36","407.3","0.617","-49.624","0.1673"
"1210.0","296.19","0.8729","1.1","410.1","11.39","410.26","0.623","-49.978","0.1687"
"1220.0","295.69","0.8714","1.1","413.06","11.41","413.22","0.625","-49.919","0.1688"
