"TIME","VEL","VEL","ASPECT","X-DIST","Y-HEIGHT","SLANT","DRAG","ACCL","RETARD"
"ms","m/s","mach","deg","m","m","m","","m/s/s","m/s/m"
"","","","","","","","","",""
"0.0","280.34","0.834","0.0","0.0","0.0","0.0","0.646","-49.066","0.175"
"10.0","279.85","0.8326","0.0","2.8","0.17","2.8","0.648","-49.066","0.1753"
"20.0","279.36","0.8311","0.0","5.59","0.34","5.6","0.65","-49.066","0.1756"
"30.0","278.87","0.8296","0.0","8.37","0.51","8.39","0.653","-49.066","0.176"
"40.0","278.38","0.8282","0.0","11.15","0.67","11.17","0.655","-49.066","0.1763"
"50.0","277.88","0.8267","0.1","13.93","0.84","13.96","0.657","-49.066","0.1766"
"60.0","277.39","0.8253","0.1","16.7","1.0","16.73","0.66","-49.066","0.1769"
"70.0","276.9","0.8238","0.1","19.47","1.17","19.5","0.662","-49.066","0.1772"
"80.0","276.41","0.8223","0.1","22.23","1.33","22.27","0.665","-49.066","0.1775"
"90.0","275.92","0.8209","0.1","24.99","1.49","25.03","0.667","-49.066","0.1778"
"100.0","275.43","0.8194","0.1","27.74","1.65","27.79","0.669","-49.066","0.1781"
"110.0","274.94","0.818","0.1","30.49","1.81","30.54","0.672","-49.066","0.1785"
"120.0","274.45","0.8165","0.1","33.23","1.96","33.29","0.674","-49.066","0.1788"
"130.0","273.96","0.815","0.1","35.97","2.12","36.03","0.677","-49.066","0.1791"
"140.0","273.48","0.8136","0.1","38.7","2.27","38.77","0.665","-48.06","0.1757"
"150.0","273.0","0.8122","0.2","41.43","2.42","41.5","0.623","-44.925","0.1646"
"160.0","272.55","0.8109","0.2","44.15","2.58","44.23","0.561","-40.331","0.148"
"170.0","272.15","0.8097","0.2","46.87","2.73","46.95","0.563","-40.331","0.1482"
"180.0","271.72","0.8084","0.2","49.59","2.88","49.67","0.544","-38.925","0.1433"
"190.0","271.32","0.8072","0.2","52.3","3.02","52.39","0.588","-41.848","0.1542"
"200.0","270.91","0.806","0.2","55.01","3.17","55.1","0.617","-43.774","0.1616"
"210.0","270.46","0.8047","0.2","57.71","3.32","57.8","0.616","-43.528","0.1609"
"220.0","270.04","0.8034","0.2","60.41","3.46","60.51","0.636","-44.845","0.1661"
"230.0","269.62","0.8021","0.2","63.1","3.6","63.2","0.647","-45.452","0.1686"
"240.0","269.18","0.8008","0.3","65.79","3.74","65.9","0.633","-44.319","0.1646"
"250.0","268.75","0.7995","0.3","68.48","3.89","68.59","0.586","-40.966","0.1524"
"260.0","268.32","0.7983","0.3","71.16","4.02","71.27","0.576","-40.095","0.1494"
"270.0","267.91","0.7971","0.3","73.84","4.16","73.95","0.589","-40.849","0.1525"
"280.0","267.5","0.7958","0.3","76.51","4.3","76.63","0.598","-41.383","0.1547"
"290.0","267.09","0.7946","0.3","79.18","4.44","79.3","0.603","-41.611","0.1558"
"300.0","266.68","0.7934","0.3","81.85","4.57","81.97","0.609","-41.888","0.1571"
"310.0","266.27","0.7922","0.3","84.51","4.7","84.64","0.609","-41.747","0.1568"
"320.0","265.85","0.7909","0.3","87.16","4.84","87.3","0.601","-41.055","0.1544"
"330.0","265.44","0.7897","0.4","89.82","4.97","89.95","0.59","-40.201","0.1515"
"340.0","265.05","0.7885","0.4","92.47","5.1","92.61","0.584","-39.675","0.1497"
"350.0","264.66","0.7874","0.4","95.11","5.23","95.26","0.581","-39.318","0.1486"
"360.0","264.26","0.7862","0.4","97.75","5.35","97.9","0.57","-38.486","0.1456"
"370.0","263.88","0.7851","0.4","100.39","5.48","100.54","0.556","-37.456","0.1419"
"380.0","263.5","0.7839","0.4","103.03","5.61","103.18","0.561","-37.659","0.1429"
"390.0","263.12","0.7828","0.4","105.66","5.73","105.81","0.571","-38.251","0.1454"
"400.0","262.74","0.7817","0.4","108.28","5.85","108.44","0.575","-38.36","0.146"
"410.0","262.35","0.7805","0.4","110.9","5.98","111.07","0.575","-38.258","0.1458"
"420.0","261.97","0.7794","0.5","113.52","6.1","113.69","0.583","-38.657","0.1476"
"430.0","261.58","0.7782","0.5","116.14","6.22","116.31","0.589","-38.967","0.149"
"440.0","261.19","0.7771","0.5","118.75","6.33","118.92","0.591","-38.977","0.1492"
"450.0","260.81","0.776","0.5","121.36","6.45","121.53","0.578","-38.014","0.1458"
"460.0","260.45","0.7749","0.5","123.96","6.57","124.14","0.569","-37.311","0.1433"
"470.0","260.08","0.7738","0.5","126.56","6.68","126.74","0.556","-36.394","0.1399"
"480.0","259.71","0.7727","0.5","129.16","6.8","129.34","0.545","-35.547","0.1369"
"490.0","259.35","0.7716","0.5","131.75","6.91","131.93","0.54","-35.151","0.1355"
"500.0","258.99","0.7705","0.5","134.34","7.02","134.52","0.55","-35.665","0.1377"
"510.0","258.63","0.7695","0.6","136.93","7.13","137.11","0.566","-36.621","0.1416"
"520.0","258.27","0.7684","0.6","139.51","7.24","139.7","0.57","-36.726","0.1422"
"530.0","257.91","0.7673","0.6","142.09","7.35","142.28","0.568","-36.482","0.1415"
"540.0","257.55","0.7663","0.6","144.66","7.45","144.85","0.56","-35.893","0.1394"
"550.0","257.19","0.7652","0.6","147.23","7.56","147.43","0.558","-35.653","0.1386"
"560.0","256.82","0.7641","0.6","149.8","7.66","150.0","0.559","-35.612","0.1387"
"570.0","256.47","0.763","0.6","152.37","7.77","152.56","0.564","-35.822","0.1397"
"580.0","256.11","0.762","0.6","154.93","7.87","155.13","0.564","-35.773","0.1397"
"590.0","255.76","0.761","0.6","157.49","7.97","157.69","0.557","-35.225","0.1377"
"600.0","255.41","0.7599","0.7","160.04","8.07","160.24","0.558","-35.182","0.1378"
"610.0","255.05","0.7588","0.7","162.59","8.17","162.8","0.552","-34.729","0.1362"
"620.0","254.7","0.7578","0.7","165.14","8.27","165.34","0.548","-34.345","0.1349"
"630.0","254.36","0.7568","0.7","167.68","8.37","167.89","0.553","-34.578","0.1359"
"640.0","254.03","0.7558","0.7","170.22","8.46","170.43","0.541","-33.746","0.1329"
"650.0","253.69","0.7548","0.7","172.76","8.56","172.97","0.542","-33.737","0.133"
"660.0","253.34","0.7538","0.7","175.29","8.65","175.5","0.543","-33.665","0.1329"
"670.0","253.0","0.7528","0.7","177.82","8.74","178.04","0.549","-33.933","0.1341"
"680.0","252.66","0.7517","0.8","180.35","8.83","180.56","0.556","-34.308","0.1358"
"690.0","252.34","0.7508","0.8","182.87","8.92","183.09","0.549","-33.751","0.1338"
"700.0","252.01","0.7498","0.8","185.39","9.01","185.61","0.538","-33.031","0.1311"
"710.0","251.68","0.7488","0.8","187.91","9.1","188.13","0.515","-31.534","0.1253"
"720.0","251.36","0.7479","0.8","190.42","9.19","190.65","0.504","-30.807","0.1226"
"730.0","251.06","0.747","0.8","192.93","9.27","193.16","0.498","-30.367","0.121"
"740.0","250.75","0.7461","0.8","195.44","9.36","195.67","0.489","-29.731","0.1186"
"750.0","250.45","0.7452","0.8","197.95","9.44","198.17","0.508","-30.776","0.1229"
"760.0","250.15","0.7443","0.8","200.45","9.53","200.68","0.499","-30.208","0.1208"
"770.0","249.85","0.7434","0.9","202.95","9.61","203.18","0.501","-30.23","0.121"
"780.0","249.55","0.7425","0.9","205.44","9.69","205.67","0.496","-29.83","0.1195"
"790.0","249.25","0.7416","0.9","207.94","9.77","208.17","0.508","-30.495","0.1224"
"800.0","248.94","0.7407","0.9","210.43","9.85","210.66","0.508","-30.396","0.1221"
"810.0","248.64","0.7398","0.9","212.91","9.92","213.15","0.498","-29.768","0.1197"
"820.0","248.35","0.7389","0.9","215.4","10.0","215.63","0.498","-29.696","0.1196"
"830.0","248.04","0.738","0.9","217.88","10.07","218.11","0.508","-30.206","0.1218"
"840.0","247.73","0.7371","0.9","220.36","10.15","220.59","0.52","-30.842","0.1245"
"850.0","247.43","0.7362","1.0","222.83","10.22","223.07","0.521","-30.803","0.1245"
"860.0","247.12","0.7353","1.0","225.3","10.29","225.54","0.523","-30.867","0.1249"
"870.0","246.82","0.7344","1.0","227.77","10.36","228.01","0.525","-30.865","0.1251"
"880.0","246.53","0.7336","1.0","230.24","10.43","230.48","0.498","-29.263","0.1187"
"890.0","246.23","0.7327","1.0","232.7","10.5","232.94","0.48","-28.131","0.1143"
"900.0","245.94","0.7318","1.0","235.16","10.57","235.4","0.478","-27.968","0.1137"
"910.0","245.67","0.731","1.0","237.62","10.64","237.86","0.471","-27.487","0.1119"
"920.0","245.41","0.7302","1.0","240.08","10.7","240.31","0.457","-26.609","0.1084"
"930.0","245.16","0.7295","1.1","242.53","10.77","242.77","0.434","-25.249","0.103"
"940.0","244.9","0.7287","1.1","244.98","10.83","245.22","0.426","-24.749","0.1011"
"950.0","244.62","0.7279","1.1","247.43","10.89","247.66","0.444","-25.69","0.105"
"960.0","244.35","0.7271","1.1","249.87","10.95","250.11","0.468","-26.999","0.1105"
"970.0","244.07","0.7262","1.1","252.31","11.01","252.55","0.514","-29.569","0.1212"
"980.0","243.78","0.7254","1.1","254.75","11.07","254.99","0.546","-31.302","0.1284"
"990.0","243.49","0.7245","1.1","257.19","11.13","257.43","0.552","-31.553","0.1296"
"1000.0","243.2","0.7237","1.1","259.62","11.19","259.86","0.51","-29.085","0.1196"
"1010.0","242.9","0.7228","1.2","262.05","11.24","262.29","0.474","-27.009","0.1112"
"1020.0","242.63","0.722","1.2","264.48","11.3","264.72","0.442","-25.142","0.1036"
"1030.0","242.38","0.7212","1.2","266.9","11.35","267.14","0.432","-24.534","0.1012"
"1040.0","242.13","0.7205","1.2","269.33","11.41","269.57","0.423","-23.979","0.099"
"1050.0","241.9","0.7198","1.2","271.75","11.46","271.99","0.411","-23.279","0.0962"
"1060.0","241.68","0.7192","1.2","274.16","11.51","274.4","0.409","-23.121","0.0957"
"1070.0","241.44","0.7185","1.2","276.58","11.56","276.82","0.405","-22.833","0.0946"
"1080.0","241.2","0.7177","1.2","278.99","11.61","279.23","0.418","-23.484","0.0974"
"1090.0","240.96","0.7171","1.3","281.4","11.65","281.64","0.418","-23.471","0.0974"
"1100.0","240.73","0.7163","1.3","283.81","11.7","284.05","0.436","-24.42","0.1015"
"1110.0","240.47","0.7156","1.3","286.22","11.75","286.46","0.465","-25.944","0.1079"
"1120.0","240.22","0.7148","1.3","288.62","11.79","288.86","0.474","-26.405","0.1099"
"1130.0","239.95","0.714","1.3","291.02","11.84","291.26","0.481","-26.712","0.1113"
"1140.0","239.68","0.7133","1.3","293.42","11.88","293.66","0.479","-26.534","0.1107"
"1150.0","239.43","0.7125","1.3","295.82","11.92","296.06","0.486","-26.888","0.1123"
"1160.0","239.16","0.7117","1.3","298.21","11.96","298.45","0.47","-25.939","0.1085"
"1170.0","238.92","0.711","1.4","300.6","12.0","300.84","0.438","-24.137","0.101"
"1180.0","238.68","0.7103","1.4","302.99","12.04","303.23","0.417","-22.934","0.0961"
"1190.0","238.45","0.7096","1.4","305.37","12.08","305.61","0.404","-22.166","0.093"
"1200.0","238.22","0.7089","1.4","307.76","12.11","308.0","0.404","-22.129","0.0929"
"1210.0","238.0","0.7083","1.4","310.14","12.15","310.38","0.403","-22.052","0.0927"
"1220.0","237.77","0.7076","1.4","312.52","12.18","312.76","0.413","-22.531","0.0948"
